paper_id,doi,title,year,journal,diameter_nm,length_um,layers,method,cvd_temperature_C,catalyst,carbon_source,conductivity_Sm,tensile_strength_GPa,youngs_modulus_GPa,notes,status,material_type,source_reference,aspect_ratio,log_diameter,is_swcnn,is_cvd,temp_normalized,has_catalyst,has_carbon_source,volume_fraction_est
REAL_0312,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,5,Forest derived,,,,59520.0,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers,428571.4285714286,0.8450981020563213,0,0,0.0,0,0,0.1020408163265306
REAL_0313,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,18,Forest derived,,,,81830.0,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers,428571.4285714286,0.8450981020563213,0,0,0.0,0,0,0.36734693877551017
REAL_0314,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,18,Forest derived,,,,6999.9999999999,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers,428571.4285714286,0.8450981020563213,0,0,0.0,0,0,0.36734693877551017
REAL_0315,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,7,Forest derived,,,,96900.0,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers,428571.4285714286,0.8450981020563213,0,0,0.0,0,0,0.14285714285714285
REAL_0316,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,6,Forest derived,,,,115270.0,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers,428571.4285714286,0.8450981020563213,0,0,0.0,0,0,0.12244897959183673
REAL_0317,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,18,Forest derived,,,,7109.9999999999,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers,428571.4285714286,0.8450981020563213,0,0,0.0,0,0,0.36734693877551017
REAL_0318,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,10.0,455.6,16,Forest derived,,,,30925.2663586783,,,Aligned Multiwall CNTs,Real,MWCNT,"2007 Thermal transport in MWCNT sheets and yarns
Ali",45560.0,1.000000043429446,0,0,0.0,0,0,0.16
REAL_0319,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,10.0,10000.0,14,Forest derived,,,,30330.6035790112,,,Aligned Multiwall CNTs,Real,MWCNT,"2007 Thermal transport in MWCNT sheets and yarns
Ali",1000000.0,1.000000043429446,0,0,0.0,0,0,0.14
REAL_0340,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2008,Meta-Analysis Database,15.0,455.6,11,Forest derived,,,,20000.0,,,Aligned Multiwall CNTs,Real,MWCNT,2008 Highly oriented carbon nanotube papers made of aligned carbon nanotubes,30373.333333333332,1.1760912880086458,0,0,0.0,0,0,0.04888888888888889
REAL_0341,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2008,Meta-Analysis Database,15.0,455.6,7,Buckypaper,,,,15000.0,,,Unaligned multiwall CNTs,Real,MWCNT,2008 Highly oriented carbon nanotube papers made of aligned carbon nanotubes,30373.333333333332,1.1760912880086458,0,0,0.0,0,0,0.03111111111111111
REAL_0342,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2008,Meta-Analysis Database,50.0,455.6,15,Liquid Extrusion ,,,,8000.0,0.15,69.0,Aligned Multiwall CNTs,Real,MWCNT,"2008 Macroscopic Fibers of Well-Aligned Carbon Nanotubes
by Wet Spinning",9112.0,1.6989700130219083,0,0,0.0,0,0,0.006
REAL_0343,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2008,Meta-Analysis Database,62.0,455.6,15,Liquid Extrusion ,,,,30000.0,0.17,142.0,Aligned Multiwall CNTs,Real,MWCNT,"2008 Macroscopic Fibers of Well-Aligned Carbon Nanotubes
by Wet Spinning",7348.387096774193,1.7923916965030036,0,0,0.0,0,0,0.0039021852237252864
REAL_0350,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2008,Meta-Analysis Database,10.0,10000.0,5,Forest derived,,,,49999.9999999999,0.35,25.0,Aligned Multiwall CNTs,Real,MWCNT,"2008 Solid-state spun fibers and yarns from 1-mm long carbon
nanotube forests synthesized by water-assisted chemical vapor
deposition",1000000.0,1.000000043429446,0,0,0.0,0,0,0.05
REAL_0391,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2008,Meta-Analysis Database,1.6,200000.0,3,Floating Catalyst,,,,50000.0,,,Aligned Few-wall CNTs,Real,FWCNT,2008_Highly Dense and Perfectly Aligned SWCNT fabricated by Diamond Wire Drawing Dies,125000000.0,0.20412025408989115,0,0,0.0,0,0,1.1718749999999998
REAL_0400,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2009,Meta-Analysis Database,1.2,455.6,3,Arc-discharge,,,,67000000.0,,,Individual FWCNT,Real,FWCNT,2009 Electrical Connectivity in Single-Walled Carbon Nanotube Networks ,379666.6666666667,0.07918160795954224,0,0,0.0,0,0,2.083333333333333
REAL_0404,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2009,Meta-Analysis Database,10.0,455.6,10,Forest derived,,,,100000.0,,,Aligned Multiwall CNTs,Real,MWCNT,2009 Flexible High-Conductivity Carbon-Nanotube Interconnects Made by Rolling and Printing,45560.0,1.000000043429446,0,0,0.0,0,0,0.1
REAL_0411,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2009,Meta-Analysis Database,11.54,455.6,12,Buckypaper,,,,2401.0,,,Unaligned multiwall CNTs,Real,MWCNT,2009 Highly conductive multiwall carbon nanotube and epoxy composites produced by three-roll milling,39480.069324090124,1.0622058464535482,0,0,0.0,0,0,0.09010930258403445
REAL_0412,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2009,Meta-Analysis Database,10.0,455.6,19,Buckypaper,,,,2537.4,,,Unaligned multiwall CNTs,Real,MWCNT,2009 Highly conductive multiwall carbon nanotube and epoxy composites produced by three-roll milling,45560.0,1.000000043429446,0,0,0.0,0,0,0.19
REAL_0413,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2009,Meta-Analysis Database,10.8,455.6,17,Buckypaper,,,,3629.0,,,Unaligned multiwall CNTs,Real,MWCNT,2009 Highly conductive multiwall carbon nanotube and epoxy composites produced by three-roll milling,42185.18518518518,1.0334237956994,0,0,0.0,0,0,0.14574759945130314
REAL_0414,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2009,Meta-Analysis Database,12.74,455.6,9,Buckypaper,,,,1368.1,,,Unaligned multiwall CNTs,Real,MWCNT,2009 Highly conductive multiwall carbon nanotube and epoxy composites produced by three-roll milling,35761.38147566719,1.1051694620883792,0,0,0.0,0,0,0.055450268502522375
REAL_0415,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2009,Meta-Analysis Database,50.0,455.6,18,Pressed Pellet,,,,8026.0,,,Unaligned multiwall CNTs,Real,MWCNT,2009 Transport properties of hot pressed bulk carbon nanotubes compacted by spark plasma sintering,9112.0,1.6989700130219083,0,0,0.0,0,0,0.007200000000000001
REAL_0425,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,13.4,4222.96436037322,16,Forest derived,,,,88591.621036547,0.950481823280477,,Aligned Multiwall CNTs,Real,MWCNT,2010 Carbon nanotube yarns with high tensile strength made by a twisting and shrinking method,315146.594057703,1.1271048307748424,0,0,0.0,0,0,0.08910670527957229
REAL_0426,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,13.4,16554.9635445877,13,Forest derived,,,,85224.58734150209,0.938474481211441,,Aligned Multiwall CNTs,Real,MWCNT,2010 Carbon nanotube yarns with high tensile strength made by a twisting and shrinking method,1235445.0406408731,1.1271048307748424,0,0,0.0,0,0,0.07239919803965249
REAL_0427,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,13.4,23545.0976393208,5,Forest derived,,,,65726.8176883649,0.849681333809208,,Aligned Multiwall CNTs,Real,MWCNT,2010 Carbon nanotube yarns with high tensile strength made by a twisting and shrinking method,1757096.8387552837,1.1271048307748424,0,0,0.0,0,0,0.027845845399866342
REAL_0428,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,13.4,34119.5890480803,5,Forest derived,,,,52439.0628297651,0.620104012644675,,Aligned Multiwall CNTs,Real,MWCNT,2010 Carbon nanotube yarns with high tensile strength made by a twisting and shrinking method,2546237.988662709,1.1271048307748424,0,0,0.0,0,0,0.027845845399866342
REAL_0429,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,13.4,9600.0,16,Forest derived,,,,90909.0909090909,1.1,56.0,Aligned Multiwall CNTs,Real,MWCNT,2010 Carbon nanotube yarns with high tensile strength made by a twisting and shrinking method,716417.9104477612,1.1271048307748424,0,0,0.0,0,0,0.08910670527957229
REAL_0445,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,1.46,455.6,2,Buckypaper,,,,70000.0,,,Unaligned Few-wall CNTs,Real,FWCNT,2010 Transport Mechanisms in Metallic and Semiconducting Single-Wall Carbon Nanotube Networks,312054.79452054796,0.16435315324630909,0,0,0.0,0,0,0.9382623381497468
REAL_0449,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,11.1,455.6,13,Forest derived,,,,34999.9999999999,0.303,,Aligned Multiwall CNTs,Real,MWCNT,"2010_Spinnable carbon nanotube forests grown on thin, flexible
metallic substrates",41045.045045045044,1.0453230179122845,0,0,0.0,0,0,0.10551091632172714
REAL_0459,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,30.0,455.6,19,Not Reported/ Can not calculate,,,,944.2446043165,,,Unaligned multiwall CNTs,Real,MWCNT,2010_TUNING ELECTRICAL AND THERMAL CONNECTIVITY IN MULTIWALLED CARBON NANOTUBE BUCKYPAPER,15186.666666666666,1.4771212691961448,0,0,0.0,0,0,0.021111111111111112
REAL_0460,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,30.0,455.6,16,Not Reported/ Can not calculate,,,,1785.7142857142,,,Unaligned multiwall CNTs,Real,MWCNT,2010_TUNING ELECTRICAL AND THERMAL CONNECTIVITY IN MULTIWALLED CARBON NANOTUBE BUCKYPAPER,15186.666666666666,1.4771212691961448,0,0,0.0,0,0,0.017777777777777778
REAL_0461,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2010,Meta-Analysis Database,30.0,455.6,13,Not Reported/ Can not calculate,,,,3750.0,,,Unaligned multiwall CNTs,Real,MWCNT,2010_TUNING ELECTRICAL AND THERMAL CONNECTIVITY IN MULTIWALLED CARBON NANOTUBE BUCKYPAPER,15186.666666666666,1.4771212691961448,0,0,0.0,0,0,0.014444444444444444
